GenotypeID,Class
D00711031,Offspring
D00711865,Offspring
D00712588,Offspring
D00713676,Offspring
D00713896,Offspring
D00712042,Offspring
D00713692,Offspring
D00713134,Offspring
D00711573,Offspring
D00713869,Offspring
D00712266,Offspring
D00712408,Offspring
D00711200,Offspring
D00713804,Offspring
D00711305,Offspring
D00711042,Offspring
D00712416,Offspring
D00712088,Offspring
D00712811,Offspring
D00711411,Offspring
D00711315,Offspring
D00711555,Offspring
D00711934,Offspring
D00713584,Offspring
D00712973,Offspring
D00712800,Offspring
D00712038,Offspring
D00712835,Offspring
D00713068,Offspring
D00712145,Offspring
D00711224,Offspring
D00711030,Offspring
D00713705,Offspring
D00712721,Offspring
D00712699,Offspring
D00712202,Offspring
D00713295,Offspring
D00712821,Offspring
D00713308,Offspring
D00712463,Offspring
D00713825,Offspring
D00713709,Offspring
D00713632,Offspring
D00712473,Offspring
D00711845,Offspring
D00711966,Offspring
D00713542,Offspring
D00713087,Offspring
D00712056,Offspring
D00713399,Offspring
D00711039,Offspring
D00713507,Offspring
D00712781,Offspring
D00711160,Offspring
D00712252,Offspring
D00713697,Offspring
D00713971,Offspring
D00712997,Offspring
D00711523,Offspring
D00713940,Offspring
D00713108,Offspring
D00711924,Offspring
D00711480,Offspring
D00713052,Offspring
D00712876,Offspring
D00711278,Offspring
D00713137,Offspring
D00712647,Offspring
D00713552,Offspring
D00713567,Offspring
D00711879,Offspring
D00712062,Offspring
D00711516,Offspring
D00712489,Offspring
D00712418,Offspring
D00712431,Offspring
D00713162,Offspring
D00714123,Offspring
D00713017,Offspring
D00713306,Offspring
D00713658,Offspring
D00713038,Offspring
D00711917,Offspring
D00711886,Offspring
D00712627,Offspring
D00713795,Offspring
D00713595,Offspring
D00714012,Offspring
D00713504,Offspring
D00713646,Offspring
D00712561,Offspring
D00712964,Offspring
D00713563,Offspring
D00713923,Offspring
D00713838,Offspring
D00713608,Offspring
D00713442,Offspring
D00712881,Offspring
D00713927,Offspring
D00713120,Offspring
D00713413,Offspring
D00711041,Offspring
D00714002,Offspring
D00712447,Offspring
D00713590,Offspring
D00713195,Offspring
D00712048,Offspring
D00713659,Offspring
D00712981,Offspring
D00713945,Offspring
D00713385,Offspring
D00713915,Offspring
D00713741,Offspring
D00713145,Offspring
D00713763,Offspring
D00713043,Offspring
D00713302,Offspring
D00713822,Offspring
D00713326,Offspring
D00713375,Offspring
D00713029,Offspring
D00712517,Offspring
D00713358,Offspring
D00713459,Offspring
D00712452,Offspring
D00713471,Offspring
D00713480,Offspring
D00713448,Offspring
D00712230,Offspring
D00712415,Offspring
D00713475,Offspring
D00713938,Offspring
D00713615,Offspring
D00713612,Offspring
D00713720,Offspring
D00713462,Offspring
D00713516,Offspring
D00712971,Offspring
D00713716,Offspring
D00713785,Offspring
D00712990,Offspring
D00713756,Offspring
D00713977,Offspring
D00713894,Offspring
D00713536,Offspring
D00713685,Offspring
D00713320,Offspring
D00713879,Offspring
D00712583,Offspring
D00713703,Offspring
D00712303,Offspring
D00711918,Offspring
D00713447,Offspring
D00711919,Offspring
